1607200000000;59.479.000.000;59.710.000.000;59.050.000.000;59.680.000.000;7.001.635.510.000;1,61E+12;4.155.246.604.757.630;49160;3.705.803.811.000;2.199.374.989.813.380;0
1607210000000;59.682.000.000;60.750.000.000;59.468.000.000;59.705.000.000;13.751.735.492.000;1,61E+12;8.276.375.501.970.810;73872;7.273.507.699.000;4.377.670.458.873.450;0
1607230000000;59.701.000.000;60.409.000.000;59.474.000.000;60.054.000.000;7.745.236.641.000;1,61E+12;4.633.128.019.418.710;38564;3.748.245.106.000;2.242.864.530.298.450;0
1607240000000;60.056.000.000;60.174.000.000;58.600.000.000;59.326.000.000;11.101.137.458.000;1,61E+12;6.576.352.726.966.330;71890;5.176.489.773.000;3.066.577.060.088.250;0
1607260000000;59.323.000.000;59.674.000.000;58.300.000.000;59.488.000.000;10.645.995.380.000;1,61E+12;6.289.455.517.213.380;69208;5.562.779.905.000;3.288.052.117.456.260;0
1607270000000;59.489.000.000;59.823.000.000;59.184.000.000;59.559.000.000;7.448.880.241.000;1,61E+12;4.431.480.037.697.590;46778;4.277.639.314.000;2.544.806.864.603.630;0
1607280000000;59.558.000.000;60.400.000.000;59.023.000.000;60.154.000.000;9.556.711.127.000;1,61E+12;5.716.848.226.232.510;63349;5.061.339.517.000;3.028.579.604.617.210;0
1607300000000;60.159.000.000;60.315.000.000;59.141.000.000;59.462.000.000;9.129.444.963.000;1,61E+12;5.442.992.925.007.540;59573;4.354.927.335.000;2.596.255.254.293.660;0
1607310000000;59.461.000.000;60.139.000.000;59.261.000.000;60.070.000.000;5.604.935.792.000;1,61E+12;3.349.021.655.577.970;46677;2.980.583.994.000;1.781.252.777.659.660;0
1607330000000;60.069.000.000;60.089.000.000;59.000.000.000;59.069.000.000;7.815.956.601.000;1,61E+12;4.647.421.586.479.870;60371;3.645.747.625.000;2.168.088.292.506.990;0
1607340000000;59.061.000.000;59.759.000.000;59.000.000.000;59.437.000.000;7.703.984.581.000;1,61E+12;4.582.301.960.691.910;45265;3.986.994.303.000;2.371.657.297.961.600;0
1607360000000;59.441.000.000;59.565.000.000;58.422.000.000;58.731.000.000;12.985.745.451.000;1,61E+12;7.658.728.453.970.890;83908;5.616.598.934.000;3.311.376.253.964.810;0
1607370000000;58.730.000.000;59.309.000.000;58.447.000.000;59.128.000.000;6.592.870.201.000;1,61E+12;3.879.342.121.071.620;51242;3.094.761.902.000;1.821.005.218.741.330;0
1607390000000;59.127.000.000;59.129.000.000;58.555.000.000;58.845.000.000;6.195.285.280.000;1,61E+12;3.649.215.266.645.780;31786;3.031.629.577.000;1.785.604.705.651.750;0
1607400000000;58.843.000.000;59.500.000.000;58.800.000.000;58.813.000.000;6.547.819.278.000;1,61E+12;3.870.879.179.024.800;38115;3.107.701.373.000;1.837.308.143.553.490;0
1607410000000;58.813.000.000;58.910.000.000;57.073.000.000;57.379.000.000;20.510.399.411.000;1,61E+12;11.857.917.779.210.500;106042;9.473.048.679.000;5.476.403.660.883.830;0
1607430000000;57.371.000.000;58.096.000.000;56.821.000.000;57.413.000.000;15.164.610.827.000;1,61E+12;8.723.238.337.898.070;73170;7.362.300.481.000;4.236.407.114.484.100;0
1607440000000;57.413.000.000;57.789.000.000;57.021.000.000;57.108.000.000;8.632.333.338.000;1,61E+12;4.956.828.152.645.550;46714;4.302.704.622.000;2.470.687.327.235.890;0
1607460000000;57.107.000.000;57.311.000.000;54.922.000.000;55.494.000.000;23.393.852.583.000;1,61E+12;13.120.041.600.747.300;127041;9.911.584.187.000;5.560.887.524.412.500;0
1607470000000;55.492.000.000;55.678.000.000;54.200.000.000;55.212.000.000;17.723.704.362.000;1,61E+12;9.749.083.791.471.220;93236;8.542.978.512.000;4.700.037.625.057.550;0
1607490000000;55.211.000.000;55.250.000.000;53.700.000.000;53.834.000.000;13.470.723.433.000;1,61E+12;7.357.326.380.629.860;59378;6.157.221.969.000;3.363.473.658.768.060;0
1607500000000;53.843.000.000;56.569.000.000;53.043.000.000;56.189.000.000;27.806.020.504.000;1,61E+12;15.228.348.955.179.500;135229;14.226.092.673.000;7.794.208.873.130.830;0
1607520000000;56.189.000.000;57.687.000.000;55.993.000.000;56.773.000.000;20.421.684.384.000;1,61E+12;11.592.519.213.011.300;97106;10.920.630.193.000;6.200.590.375.687.520;0
1607530000000;56.772.000.000;57.476.000.000;56.225.000.000;56.883.000.000;11.018.334.741.000;1,61E+12;6.259.964.401.528.410;68206;5.296.097.881.000;3.008.986.895.870.600;0
1607540000000;56.878.000.000;57.808.000.000;56.659.000.000;57.309.000.000;9.278.749.314.000;1,61E+12;5.326.972.846.444.930;82820;5.186.147.848.000;2.977.405.063.546.350;0
1607560000000;57.320.000.000;57.570.000.000;56.500.000.000;56.766.000.000;8.540.612.340.000;1,61E+12;4.861.437.651.375.090;54182;4.364.937.700.000;2.485.107.253.354.160;0
1607570000000;56.765.000.000;57.154.000.000;55.974.000.000;56.351.000.000;8.836.597.882.000;1,61E+12;4.986.030.628.971.020;72985;4.107.751.523.000;2.318.278.415.996.000;0
1607590000000;56.352.000.000;56.879.000.000;55.233.000.000;55.499.000.000;12.306.844.576.000;1,61E+12;6.895.983.207.336.950;72082;5.682.464.554.000;3.184.128.747.614.100;0
1607600000000;55.499.000.000;56.292.000.000;54.811.000.000;55.764.000.000;14.664.061.058.000;1,61E+12;8.134.658.253.191.260;84950;7.267.660.405.000;4.033.637.196.626.270;0
1607620000000;55.764.000.000;56.557.000.000;55.508.000.000;56.547.000.000;9.839.908.304.000;1,61E+12;5.503.383.381.127.520;52853;5.363.694.705.000;2.999.230.356.654.710;0
1607630000000;56.547.000.000;56.850.000.000;55.750.000.000;55.899.000.000;6.653.427.306.000;1,61E+12;3.753.719.504.704.260;39496;3.353.650.126.000;1.892.176.540.031.280;0
1607640000000;55.899.000.000;56.080.000.000;54.013.000.000;54.727.000.000;20.377.481.223.000;1,61E+12;11.140.174.001.109.700;99966;8.584.631.605.000;4.694.054.074.817.590;0
1607660000000;54.732.000.000;54.896.000.000;53.550.000.000;54.168.000.000;12.364.554.449.000;1,61E+12;6.714.103.485.925.390;58088;6.074.464.174.000;3.299.570.889.927.840;0
1607670000000;54.163.000.000;54.800.000.000;53.600.000.000;53.887.000.000;13.221.590.566.000;1,61E+12;7.163.087.987.264.240;70959;6.235.492.695.000;3.379.285.847.610.000;0
1607690000000;53.893.000.000;55.476.000.000;53.702.000.000;55.420.000.000;13.625.394.961.000;1,61E+12;7.468.671.128.705.350;71672;7.129.481.231.000;3.908.306.566.097.220;0
1607700000000;55.419.000.000;55.439.000.000;54.300.000.000;54.625.000.000;9.986.981.268.000;1,61E+12;5.468.173.471.460.950;54670;4.997.641.020.000;2.735.833.656.394.600;0
1607720000000;54.624.000.000;55.200.000.000;54.360.000.000;54.443.000.000;7.316.175.850.000;1,61E+12;4.006.532.970.268.940;45190;3.898.956.346.000;2.135.656.132.162.120;0
1607730000000;54.446.000.000;55.763.000.000;54.310.000.000;55.465.000.000;10.332.164.826.000;1,61E+12;5.714.846.198.902.710;54419;5.462.892.003.000;3.021.767.114.991.660;0
1607750000000;55.458.000.000;56.092.000.000;55.370.000.000;55.898.000.000;8.368.711.186.000;1,61E+12;4.668.383.299.619.800;48463;4.625.515.648.000;2.580.645.328.749.940;0
